Location,Country,Region/City,Disease,Species,Feed Language,HealthMap Alert ID,URL,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,SC,SD,CC,CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Liberia,Liberia,NA,Ebola,Humans,NA,2373662,"PRO/AH/EDR> Ebola virus disease - West Africa (05): Guinea, Liberia, Sierra Leone WHO update",http://promedmail.org/direct.php?id=20140401.2373662,4/1/14 21:55,No Tag,NA,NA,NA,NA,8,2,2,1,NA,ProMED Mail,Ministry of Health Liberia,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2373940,PRO/AH/EDR> Ebola virus disease - West Africa (06),http://promedmail.org/direct.php?id=20140402.2373940,4/2/14 9:59,No Tag,NA,1,NA,1,127,83,NA,NA,NA,ProMED Mail,Bloomberg News,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2376459,PRO/AH/EDR> Ebola virus disease - West Africa (07),http://promedmail.org/direct.php?id=20140402.2376459,4/2/14 22:43,No Tag,5,NA,NA,NA,127,83,12,4,NA,ProMED Mail,"News24, AFP",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2376459,PRO/AH/EDR> Ebola virus disease - West Africa (07),http://promedmail.org/direct.php?id=20140402.2376459,4/2/14 22:43,No Tag,NA,NA,NA,NA,5,NA,2,NA,NA,ProMED Mail,"News24, AFP",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2376459,PRO/AH/EDR> Ebola virus disease - West Africa (07),http://promedmail.org/direct.php?id=20140402.2376459,4/2/14 22:43,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,"News24, AFP",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2379386,"PRO/AH/EDR> Ebola virus disease - West Africa (08): WHO, miscellaneous reports",http://promedmail.org/direct.php?id=20140403.2379386,4/3/14 21:49,No Tag,4,NA,NA,NA,134,84,NA,NA,NA,ProMED Mail,"Business Standard, India",NA
Senegal,Senegal,NA,Ebola,Humans,NA,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,4/6/14 21:59,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,Xinhau News,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,4/6/14 21:59,No Tag,NA,NA,NA,NA,143,86,54,16,NA,ProMED Mail,Ministry of Health Guinea,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,4/6/14 21:59,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,"Ministry of Health and Sanitation, Sierra Leone",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,4/6/14 21:59,No Tag,NA,2,NA,NA,NA,7,NA,NA,NA,ProMED Mail,Business Standard,NA
Ghana,Ghana,NA,Ebola,Humans,NA,2385791,PRO/AH/EDR> Ebola virus disease - West Africa (09),http://promedmail.org/direct.php?id=20140406.2385791,4/6/14 21:59,No Tag,NA,NA,NA,NA,1,NA,NA,NA,NA,ProMED Mail,Radio XYZ,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,4/8/14 5:30,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,Sierra Leone Ministry of Health and Sanitation,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,4/8/14 5:30,No Tag,NA,NA,NA,NA,NA,80,NA,NA,NA,ProMED Mail,Joyonline,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,4/8/14 5:30,No Tag,NA,NA,NA,NA,NA,5,NA,NA,NA,ProMED Mail,Joyonline,NA
